,word,pronounciation,definition,part of speech,sentence_1_kanji,sentence_1_hiragana,sentence_1_english
137,漢字,かんじ,Chinese character,Noun,漢字は中国からきました。,かんじ は ちゅうごく から きました 。,Kanji came from China.
138,自転車,じてんしゃ,bicycle,Noun,毎日、駅まで自転車で行きます。,まいにち、えき まで じてんしゃ で いきます。,I go to the station by bike every day.
139,電車,でんしゃ,train,Noun,私は電車で通学しています。,わたし は でんしゃ で つうがく して います。,I go to school by train.
140,探す,さがす,"search for, look for (someone or something one wants)",Verb,彼は郵便局を探していました。,かれ は ゆうびんきょく を さがして いました。,He was looking for the post office.
141,紙,かみ,paper,Noun,紙と鉛筆はありますか。,かみ と えんぴつ は あります か。,Do you have paper and pencil?
142,歌う,うたう,sing,Verb,私たちは大きな声で歌いました。,わたし たち は おおきな こえ で うたいました。,We sang loudly.
143,遅い,おそい,"slow, late",Adjective,前の車はとても遅い。,まえ の くるま は とても おそい。,The car in front of me is very slow.
144,首,くび,neck,Noun,きりんの首は長い。,きりん の くび は ながい。,Giraffes have long necks.
145,速い,はやい,fast,Adjective,彼は走るのが速い。,かれ は はしる の が はやい。,He runs fast.
146,一緒に,いっしょに,"together, at the same time",Adverb,一緒に帰りましょう。,いっしょ に かえりましょう。,Let's go home together.
147,今月,こんげつ,this month,Noun,今月はとても忙しい。,こんげつ は とても いそがしい。,I'm very busy this month.
148,遊ぶ,あそぶ,play,Verb,子供たちが公園で遊んでいる。,こども たち が こうえん で あそんで いる。,Kids are playing in the park.
149,遠い,とおい,"far, distant",Adjective,家から学校までは遠いです。,いえ から がっこう まで は とおい です。,It's a long way from my house to school.
150,弱い,よわい,weak,Adjective,その子は体が少し弱い。,その こ は からだ が すこし よわい。,That child has a somewhat weak constitution.
151,耳,みみ,ear,Noun,彼女は耳がよく聞こえません。,かのじょ は みみ が よく きこえません。,Her hearing isn't very good.
152,座る,すわる,"sit, sit down",Verb,私は窓側の席に座った。,わたし は まどがわ の せき に すわった。,I sat in a window seat.
153,右,みぎ,right,Noun,右のポケットにハンカチが入っています。,みぎ の ポケット に ハンカチ が はいって います。,I have a handkerchief in my right pocket.
154,浴びる,あびる,"take (a shower), bask",Verb,私は朝、シャワーを浴びます。,わたし は あさ、シャワー を あびます。,I take a shower in the morning.
155,肩,かた,shoulder,Noun,肩が凝りました。,かた が こりました。,My shoulders are stiff.
156,寝る,ねる,"sleep, go to sleep",Verb,もう寝よう。,もう ねよう。,Let's go to bed.
157,消す,けす,"switch off, turn off",Verb,昼間は電気を消してください。,ひるま は でんき を けして ください。,Please turn the lights off during the day.
158,元気,げんき,"healthy, energetic",Adjectival Noun,おかげさまで元気です。,おかげさま で げんき です。,"I'm fine, thank you."
159,全部,ぜんぶ,"all, whole",Noun,それ、全部ください。,それ ぜんぶ ください。,I'll take them all.
